bank_ActTaxRefundInLastYear,payroll_hourlyRate,bank_cntActTravelInEightWeeks,cs_nCredit,bank_TransactionBalanceWithinNWeeksN_2,bank_lowestBalinNDaysN_14,bank_avgPayRollAmountWithinNweeksN_12,bank_avgEarningCountWithinNWeeksN_2,employment_nUserEmployment,user_domain,bank_cntActRestaurantInEightWeeks,bank_hasFeeinEightWeeks,bank_AHAmountOverOtherAmountinNWeeksN_2,bank_cntActShopInEightWeeks,device_daySinceLastInstall,bank_hasUhaulinEightWeeks,bank_hasRentersInsinEightWeeks,bank_payRollCountwithinNWeeksN_12,bank_mostRecentPayRollAmountToPreviousAVGinNWeeksN_12,payroll_lastPayrollSetupBy,bank_hasDaveInTwoWeeks,bank_hasRecurringPaymentInEightWeeks,bank_avgTransactionAmountWithinNWeeksN_2,cs_nAudit1_Wk4,bank_earlistBankConnectionDate,device_nInstall,payroll_lastPayrollStatus,cs_nAudit2_Wk4,user_emailLength,bank_intervalActTransferInEightWeeks,cs_lastAudit1Type,cs_lastAuditUsername,bank_cntActCompetitorInTwoWeeks,cs_nAudit1,employment_nEmployer,payroll_daySinceLastPayrollRecordCreate,bank_avgEarningAmountWithinNWeeksN_2,timesheet_avgHoursPerTimesheetinNweeksN_2,bank_hasClearBancDailyPayinTwoWeeks,cs_nAudit,bank_hasCreditCard,bank_countConnectionChange,bank_mostRecentPayRollIsPartialinNWeeksN_12,device_lastInstallOS,bank_cntActCompetitorInEightWeeks,user_com,bank_countOfAccounts,user_net,bank_earlistBalanceDate,bank_hasDaveInEightWeeks,bank_spendingAmountRatioWithinNWeeksN_2,bank_weeksSinceLastConnectionChange,uid,predTime,timesheet_countValidTimeSheetPicsinNweeksN_2,cs_daySinceLastAudit,bank_spendingCountRatioWithinNWeeksN_2,bank_avgSpendingCountWithinNWeeksN_2,bank_cntActTransferInEightWeeks,cs_nAudit_Wk4,bank_daySinceLastTransaction,bank_AHCountOverOtherCountinNWeeksN_2,timesheet_percentInvalidTimeSheetPics,bank_countOfATMInsinEightWeeks,bank_paidEarlierRatioWithinNWeeksN_12,timesheet_countTimeSheetPicsinNweeksN_2,bank_restoreAccountTenureinWeek,cs_nAudit2,bank_earlistPayRollDate,user_nameinemail,bank_stdPayRollAmountWithinNweeksN_12,user_digitInEmail,bank_hasTaxRefundInThisYear,bank_amountOfATMInsinEightWeeks,bank_hasPayDayLoaninEightWeeks,bank_avgAmountPerTransactionWithinNWeeksN_2,bank_earlistRestoreAccountTransactionDate,bank_hasCashAdvanceinEightWeeks,payroll_daySinceLastPayrollSetup,bank_avgAmountPerSpendingWithinNWeeksN_2,payroll_paycycleFrequencyId,bank_transactionCountTrend,bank_hadNegBalinNDaysN_14,bank_hasUnemploymentDepositinTwoMonth,bank_avgPayRollCycle,bank_avgActCompetitorInEightWeeks,bank_mostRecentPayRollAmountinNWeeksN_12,bank_highestBalinNDaysN_14,cs_lastAuditSource,bank_earningAmountRatioWithinNWeeksN_2,bank_ActTaxRefundInThisYear,bank_spendingAmountStdWithinNWeeksN_2,bank_getInstitutionId,employment_daySinceLastEmployment,timesheet_totalHoursinNweeksN_2,bank_earningAmountStdWithinNWeeksN_2,bank_intervalActCompetitorInEightWeeks,employment_employer,bank_hasAutoLoaninEightWeeks,bank_hasPhoneBillInEightWeeks,cs_lastAuditType,cs_nAudit3,bank_avgActDaveInEightWeeks,bank_earningCountRatioWithinNWeeksN_2,payroll_nUniquePayrollSetupBy_Wk4,bank_transactionAmountTrend,timesheet_recentTimeSheetProvider,bank_avgTransactionCountWithinNWeeksN_2,employment_paytypeid,timesheet_earlistPicsDate,bank_hasR08InEightWeeks,user_edu,bank_hasTaxRefundInLastYear,bank_intervalActRestaurantInEightWeeks,payroll_nPayrollSetup,timesheet_earlistHoursDate,bank_cntActDaveInEightWeeks,payroll_nPayrollSetup_Wk4,bank_firstDaySinceActCompetitorInEightWeeks,payroll_isLastPayrollComplete,cs_nAudit3_Wk4,bank_getCurrentBalance,timesheet_stdHoursinNweeksN_2,bank_intervalActShopInEightWeeks,payroll_nUniquePayrollSetupBy,device_nInstall_Wk2,bank_stdPayRollCycle,bank_cntCompetitorInEightWeeks,bank_abandoningAccount,cs_lastAudit1Username,bank_paidEarlierCountWithinNWeeksN_12,user_daysSinceSignup,bank_hasSpendingGreaterOneThousandWithinNWeeksN_2,bank_payRollHistGreaterThanNweeksN_12,bank_lastDaySinceActCompetitorInEightWeeks,bank_avgAmountPerEarningWithinNWeeksN_2,bank_hasTaxRefundInTwoWeeks,bank_hasTitleLoaninEightWeeks,bank_hasBadTransactioninEightWeeks,timesheet_countOfUniqueTimeSheetProviderinNweeksN_2,bank_hasLoan,bank_hasSpendingGreaterThreeHundredWithinNWeeksN_2,bank_countNegBalinNDaysN_14,cs_nCredit_Wk4,user_alphaInEmail,bank_actCompetitorInEightWeeks,bank_hasCasinoinEightWeeks,timesheet_countInvalidTimeSheetPicsinNweeksN_2,bank_hasOverDraftinEightWeeks,bank_avgSpendingAmountWithinNWeeksN_2
0,12.62,66,0,-8.94,1.05,198.94,3.0,2,gmail.com,20,0,1.16392755715e-05,38,140,0,0,1,1.0,System,0,0,429.58,0,2020-02-03 16:58:44.811000,1,11,1,13,9,0,CheckPayrollActiveStatusMessageHandler,0,0,2,1,212.555,4.0,0,1,0,0,0,iOS,0,1,1,0,2020-02-03 16:58:46,0,-0.50520275618,0.14285714285714285,9926636,2020-02-05T10:55:58.789000,0,1,0.75,9.0,6,1,1,0.041666666666666664,0.0,5,0.0,0,13.0,1,2020-02-03 21:58:49,1,0,2,0,-847.75,0,35.7983333333,2019-11-06 00:00:00,0,1,-24.1138888889,1,0.7384615384615385,0,0,90,0,198.94,11.62,2,0.49479724382,0,16.2410203747,11399,1,8.0,70.958144118,0,1075302,0,0,13,0,0,0.25,1,0.480450051447,GpsEarnings,12.0,1,NaT,0,0,0,2,1,2020-02-03 17:02:44.483000,0,1,56,1,0,1.05,5.65685424949,1,1,0,-1,0,0,,0,1,0,0,56,70.8516666667,0,0,1,2,0,0,0,0,11,0,0,0,0,-217.025
0,15.34,13,0,58.56,-42.72,811.8,5.0,1,gmail.com,23,1,0.0,30,140,0,0,2,0.0981768908598,saifollah@ececonsultinggroup.com,1,0,1520.45,2,2019-10-24 18:52:47.953000,3,11,0,22,8,13,checknya@ececonsultinggroup.com,1,3,1,103,774.865,8.0,0,5,0,0,0,iOS,1,1,2,0,2019-10-24 22:52:56,1,-0.490371271663,14.714285714285714,4865824,2020-02-05T10:50:45.335000,0,0,0.8148148148148148,22.0,6,2,1,0.0,0.0,1,0.5,0,25,2,2019-10-24 22:52:53,1,1035.34574901,2,0,7.0,0,56.312962963,2019-07-05 00:00:00,0,0,-33.8902272727,2,1.1020408163265305,1,0,20,75.0,79.7,696.92,1,0.509628728337,0,44.5090273827,13268,103,16.0,334.807509077,0,5327,0,0,13,0,75.0,0.18518518518518517,1,0.985973490351,User,27.0,1,NaT,0,0,0,1,4,2020-02-05 10:48:22.399000,1,1,10,1,0,15.84,0.0,1,2,0,37,1,0,checknya@ececonsultinggroup.com,1,387,0,1,10,154.973,0,0,0,1,0,0,4,0,20,75.0,0,0,0,-745.585
0,21.35,0,0,-254.56,-33.71,1624.9625,1.5,1,gmail.com,14,1,0.0,56,140,0,0,4,1.22745601822,jifrell@ececonsultinggroup.com,0,0,2214.08,1,2020-01-09 10:44:57.758000,1,11,2,10,3,13,CheckPayrollActiveStatusMessageHandler,0,1,1,26,1043.4,8.0,0,3,0,0,0,android,0,1,3,0,2020-01-09 10:44:59,0,-0.528743315508,3.857142857142857,9687654,2020-02-05T10:45:20.976000,0,26,0.9142857142857143,16.0,15,3,2,0.0,0.0,3,0.0,0,25,2,2020-01-09 15:45:03,0,247.487512867,8,0,-206.99,0,126.518857143,2019-07-15 00:00:00,0,26,-73.1675,3,0.9859154929577465,1,0,6,0,1994.57,1960.86,2,0.471256684492,0,125.406152342,11282,26,112.0,1125.8850051,0,157215,0,0,13,0,0,0.08571428571428572,2,1.05573145146,EarninMilitary,17.5,2,NaT,0,0,0,3,2,2020-01-09 11:10:47.928000,0,2,56,1,0,201.58,0.0,0,2,0,7,0,0,CheckPayrollActiveStatusMessageHandler,0,27,0,0,56,695.6,0,0,0,1,1,0,2,0,2,0,0,0,0,-1170.68
0,21.07,0,0,0,3.49,0,0.0,1,yahoo.com,0,0,0,0,140,0,0,0,0,System,0,0,0,0,2020-02-05 10:39:13.421000,1,11,1,16,0,0,CheckPayrollActiveStatusMessageHandler,0,0,1,0,0,8.0,0,1,0,0,0,iOS,0,1,3,0,2020-02-05 10:39:15,0,0,0.0,9942251,2020-02-05T10:42:06.016000,0,0,0.0,0.0,0,1,0,0.0,0.0,0,0,0,0,1,2020-02-05 15:39:21,1,0,2,0,0,0,0,2019-08-09 00:00:00,0,0,0,2,0.0,0,0,365,0,0,3.49,2,0,0,0,3838,0,8.0,0,0,172142,0,0,13,0,0,0.0,1,0,Granted,0.0,1,2020-02-08 16:17:32.331000,0,0,0,0,1,2020-02-05 10:39:54.386000,0,1,56,1,0,3.49,0,0,1,0,365,0,1,,0,0,0,0,56,0,0,0,0,1,1,0,0,0,14,0,0,0,0,0
0,15.76,3,0,796.74,634.42,1295.91,2.0,1,yahoo.com,14,1,2.33087193257e-05,24,140,0,0,1,1.0,System,1,0,1072.56,0,2020-02-01 21:07:08.961000,1,11,1,14,3,0,CheckPayrollActiveStatusMessageHandler,1,0,1,3,735.465,8.15,0,1,0,0,0,android,4,1,1,0,2020-02-01 21:07:10,1,-0.314290109644,0.42857142857142855,6760044,2020-02-05T10:35:38.146000,0,3,0.8333333333333334,10.0,14,1,2,0.08333333333333333,0.0,11,0.0,0,17.0,1,2020-02-02 02:07:12,1,0,4,0,-674.0,0,89.38,2019-10-09 00:00:00,0,3,-33.7095,2,1.0,0,0,90,61.25,1295.91,843.67,2,0.685709890356,0,41.0324210037,8383,3,16.3,620.241609449,13,553,0,1,13,0,61.25,0.16666666666666666,1,0.811905771211,GpsEarnings,12.0,1,NaT,0,0,0,3,1,2020-02-03 10:46:25.352000,4,1,41,1,0,634.42,1.62634559673,2,1,0,-1,1,0,,0,239,0,0,2,367.7325,0,0,1,1,0,0,0,0,9,245.0,0,0,0,-337.095
0,6.93,0,0,-149.08,0.93,128.11,1.5,1,gmail.com,0,0,0.000182621111,0,140,0,0,1,1.0,jsantos@ececonsultinggroup.net,0,0,301.17,1,2020-02-01 17:30:49.908000,1,11,1,13,0,13,CheckPayrollActiveStatusMessageHandler,0,1,1,3,113.315,10.75,0,2,0,0,0,iOS,0,1,1,0,2020-02-01 17:30:51,0,-0.623750705582,0.42857142857142855,9911417,2020-02-05T10:32:46.156000,0,3,0.90625,14.5,0,2,2,0.03125,0.0,2,0.0,0,13.285714285714286,1,2020-02-01 22:30:53,1,0,6,0,130.0,0,18.823125,2019-11-04 00:00:00,0,3,-12.9555172414,1,0.9142857142857143,0,0,90,0,128.11,274.86,2,0.376249294418,0,24.4291499744,14334,3,21.5,67.0598123568,0,345131,0,0,13,0,0,0.09375,1,0.704013651558,GpsEarnings,16.0,1,NaT,0,0,0,0,1,2020-02-03 21:52:11.203000,0,1,56,1,0,274.76,0.353553390593,0,1,0,-1,0,0,CheckPayrollActiveStatusMessageHandler,0,3,0,0,56,75.5433333333,0,0,0,1,0,0,0,0,7,0,0,0,0,-187.855
0,10.56,13,0,274.98,52.36,696.09,1.5,2,hotmail.com,7,1,4.65692438086e-06,30,140,0,0,1,1.0,System,0,1,1073.67,0,2020-01-29 16:07:26.484000,1,11,1,9,2,0,CheckPayrollActiveStatusMessageHandler,0,0,1,1,605.58,6.475,0,1,0,1,0,iOS,0,1,2,0,2020-02-01 05:01:22,0,-0.435971946688,0.14285714285714285,9885382,2020-02-05T10:26:00.610000,0,1,0.9166666666666666,16.5,20,1,2,0.027777777777777776,0.0,2,0.0,0,25,1,2020-02-04 00:05:33,1,0,4,0,-1190.0,0,59.6483333333,2019-08-08 00:00:00,0,1,-28.3690909091,2,1.0285714285714285,0,0,90,0,696.09,500,2,0.564028053312,0,85.3151202661,1654,6,25.9,343.777091878,0,1081,0,1,13,0,0,0.08333333333333333,2,1.0153579906,GpsEarnings,18.0,1,NaT,0,0,0,1,13,2020-02-01 02:17:14.294000,0,13,56,1,0,52.36,0.85391256383,1,2,0,-1,0,0,,0,6,0,0,56,403.72,0,0,0,1,0,0,0,0,5,0,0,0,0,-468.09
0,6.63,0,0,0,0.38,0,0.0,1,yahoo.com,0,0,0,0,140,0,0,0,0,System,0,0,0,0,2020-02-05 10:21:26.625000,1,11,1,15,0,0,CheckPayrollActiveStatusMessageHandler,0,0,1,0,0,8.0,0,1,0,0,0,iOS,0,1,1,0,2020-02-05 10:21:28,0,0,0.0,9942128,2020-02-05T10:23:25.756000,0,0,0.0,0.0,0,1,0,0.0,0.0,0,0,0,0,1,2020-02-05 15:21:30,1,0,0,0,0,0,0,2019-08-09 00:00:00,0,0,0,2,0.0,0,0,365,0,0,0.38,2,0,0,0,3838,0,8.0,0,0,2097,0,0,13,0,0,0.0,1,0,Granted,0.0,1,2020-02-05 15:27:21.852000,0,0,0,0,1,2020-02-05 10:22:15.866000,0,1,56,1,0,0.38,0,0,1,0,365,0,1,,0,0,0,0,56,0,0,0,0,1,0,0,0,0,14,0,0,0,0,0
0,14.86,0,0,799.58,820.62,584.455,5.0,1,gmail.com,0,0,7.27845662468e-05,0,140,0,0,2,1.99828900429,System,0,1,1167.83,0,2020-02-01 11:07:14.093000,1,11,1,10,0,0,CheckPayrollActiveStatusMessageHandler,0,0,1,3,783.81,8.0,0,1,0,0,0,android,0,1,1,0,2020-02-01 11:07:17,0,-0.328832107413,0.42857142857142855,9908087,2020-02-05T10:18:25.830000,0,3,0.84375,27.0,0,1,1,0.03125,0.0,2,0.0,0,25,1,2020-02-01 16:07:29,1,825.129974034,3,0,-1000.0,1,36.4946875,2019-08-05 00:00:00,0,3,-14.222962963,2,1.032258064516129,0,0,0,0,1167.91,943.58,2,0.671167892587,0,31.5913498209,16992,3,64.0,356.531768066,0,265755,0,1,13,0,0,0.15625,1,0.629212817228,GpsEarnings,32.0,2,NaT,0,0,0,0,1,2020-02-01 16:52:45.980000,0,1,56,1,0,820.62,0.0,0,1,0,-1,0,0,,0,3,0,0,56,156.762,0,0,1,1,0,0,0,0,7,0,0,0,0,-384.02
0,16.61,2,0,887.55,-309.41,831.48,1.5,1,gmail.com,2,1,0.0,16,140,0,0,1,1.0,System,0,0,693.725,0,2020-01-23 10:23:04.680000,1,11,1,14,6,0,CheckPayrollActiveStatusMessageHandler,0,0,1,12,568.75,8.0,0,1,0,0,0,iOS,0,1,1,0,2020-01-23 10:23:06,0,-0.180150636059,1.7142857142857142,9829062,2020-02-05T10:10:21.019000,0,12,0.75,4.5,6,1,2,0.0,0.0,4,0.0,0,25,1,2020-01-23 15:23:07,1,0,2,0,-87.0,0,115.620833333,2019-07-29 00:00:00,0,12,-27.7722222222,2,0.96,1,0,90,0,831.48,644.09,2,0.819849363941,0,13.9177043525,10356,12,8.0,339.782405862,0,643,0,0,13,0,0,0.25,1,0.797300287038,Granted,6.0,2,NaT,0,0,0,42,1,2020-01-30 06:22:23.573000,0,1,56,1,0,543.18,0,3,1,0,-1,0,0,,0,12,0,0,56,379.166666667,0,0,1,1,0,0,5,0,12,0,0,0,1,-124.975
0,10.20,0,0,482.81,685.27,825.64,2.5,1,gmail.com,0,0,7.12218430918e-05,0,140,0,0,1,1.0,System,0,1,772.235,0,2020-02-04 05:55:52.236000,4,11,1,10,0,0,CheckPayrollActiveStatusMessageHandler,0,0,1,1,506.82,4.8,0,1,0,0,0,iOS,0,1,1,0,2020-02-04 05:55:56,0,-0.343697190622,0.14285714285714285,6582575,2020-02-05T10:05:34.743000,0,1,0.8076923076923077,10.5,0,1,1,0.038461538461538464,0.0,19,0.0,0,25,1,2020-02-04 10:56:07,1,0,4,0,894.0,0,59.4026923077,2019-08-08 00:00:00,0,1,-25.2776190476,2,0.8666666666666667,0,0,90,0,825.64,711.4,2,0.656302809378,0,25.3931982832,16992,1,4.8,348.667534938,0,745443,0,1,13,0,0,0.19230769230769232,1,0.924909872684,GpsEarnings,13.0,1,NaT,0,0,0,0,1,2020-02-04 11:56:27.919000,0,1,56,1,0,685.27,0,0,1,0,-1,0,0,,0,249,0,0,56,202.728,0,0,1,1,0,0,0,0,6,0,0,0,0,-265.415
